timestamp,open,high,low,close,volume
1761062400000,113355.20,113500.00,113030.20,113458.20,3477.949
1761063300000,113458.20,113800.00,113442.70,113599.90,3992.358
1761064200000,113599.80,113940.00,113300.00,113361.10,5085.261
1761065100000,113361.20,113540.30,112400.00,112507.20,7079.203
1761066000000,112507.50,112947.80,112301.00,112657.50,5243.014
1761066900000,112657.50,112726.70,111730.50,112320.00,7436.623
1761067800000,112319.90,112540.00,112140.00,112428.80,3886.993
1761068700000,112428.70,112485.10,111928.60,111960.10,3578.288
1761069600000,111960.20,112261.20,111728.70,111838.10,2756.242
1761070500000,111838.10,112108.50,111762.30,111790.50,1187.087
1761071400000,111790.40,111902.10,111255.90,111602.30,3179.125
1761072300000,111602.20,111994.50,111586.10,111934.50,1228.548
1761073200000,111934.50,112110.40,111888.00,112110.40,750.346
1761074100000,112110.40,112147.40,111567.70,111667.10,1067.765
1761075000000,111667.00,111773.60,111501.70,111761.80,993.071
1761075900000,111761.70,111974.30,111695.20,111720.70,797.275
1761076800000,111720.70,111747.70,111124.90,111253.00,2165.624
1761077700000,111253.10,111307.00,110468.00,110783.30,3967.281
1761078600000,110783.30,111046.30,110640.00,110874.50,983.960
1761079500000,110874.50,111052.70,110727.70,110733.00,777.549
1761080400000,110733.00,111058.10,110611.90,111045.00,964.733
1761081300000,111045.00,111068.70,110016.30,110444.40,3493.477
1761082200000,110444.40,110849.00,110335.30,110842.30,896.282
1761083100000,110842.20,110915.20,110646.40,110772.60,630.256
1761084000000,110772.50,110772.50,109950.00,110372.80,2759.573
1761084900000,110372.70,110463.20,109503.60,109553.50,3654.748
1761085800000,109553.50,109748.60,108005.00,109102.60,8160.199
1761086700000,109102.60,109366.80,108869.00,109008.00,2132.338
1761087600000,109008.00,109262.00,108888.30,109154.50,1400.718
1761088500000,109154.50,109367.00,109000.00,109059.40,1574.296
1761089400000,109059.30,109059.40,108000.00,108449.60,4271.108
1761090300000,108449.70,108560.50,108240.40,108253.70,1703.243
1761091200000,108253.80,108600.00,108122.20,108500.00,2323.682
1761092100000,108500.00,108506.40,107800.00,107950.00,2315.166
1761093000000,107950.00,108280.00,107777.10,108022.00,2582.577
1761093900000,108022.20,108160.40,107930.00,107930.10,1107.758
1761094800000,107930.10,108410.80,107930.00,108353.30,2424.890
1761095700000,108353.20,108353.20,107964.10,108110.50,1609.164
1761096600000,108110.40,108236.10,107980.50,108207.00,884.657
1761097500000,108207.10,108417.60,108073.20,108313.60,1393.454
1761098400000,108313.60,108649.40,108278.20,108615.50,1442.890
1761099300000,108615.40,108627.20,108408.00,108532.50,821.878
1761100200000,108532.50,108532.50,108213.10,108249.40,899.953
1761101100000,108249.30,108310.10,108159.30,108159.30,748.064
1761102000000,108159.30,108184.00,107935.20,107975.70,1110.332
1761102900000,107975.70,108170.00,107802.30,108110.10,1551.299
1761103800000,108110.00,108149.40,107909.10,107994.60,687.954
1761104700000,107994.70,108179.20,107946.20,108174.10,805.256
1761105600000,108174.00,108449.00,108106.80,108398.30,1346.406
1761106500000,108398.20,108498.60,108316.40,108321.60,789.100
1761107400000,108321.50,108500.00,108303.20,108436.30,781.147
1761108300000,108436.20,108570.70,108406.80,108554.40,949.544
1761109200000,108554.50,108581.90,108279.80,108294.50,1109.706
1761110100000,108294.50,108325.70,107886.20,107997.20,1715.365
